Country,Survival_to_65_female,Survival_to_65_male,Pop_0_14,Pop_15_64,Pop_65_up
Tajikistan,74.64748,61.91949,35.9130706787,60.7820739746,3.3048541546
Tanzania,57.68151,53.31169,44.8391418457,52.0453224182,3.1155352592
Thailand,83.29233,70.7343,19.332452774,71.7983398438,8.8692102432
Timor-Leste,70.74012,64.03893,47.3256759644,49.5858078003,3.088517189
Togo,53.09966,48.7754,42.0689201355,55.1876983643,2.7433812618
Tonga,81.16586,70.46828,37.4743041992,56.6619911194,5.8637051582
Trinidad and Tobago,77.909,64.40936,20.723367691,70.985206604,8.2914247513
Tunisia,87.07962,78.96469,23.4928798676,69.5595397949,6.9475808144
Turkey,86.86707,76.16011,26.7018947601,66.247833252,7.0502743721
Turkmenistan,72.72893,54.52219,29.2298183441,66.6476898193,4.1224951744
Uganda,53.31113,50.70029,48.8594703674,48.6946868896,2.4458434582
Ukraine,79.1972,50.50037,13.8961334229,70.320098877,15.7837657928
United Arab Emirates,85.64944,82.87299,13.859418869,85.8055496216,0.3350337744
United Kingdom,90.59202,85.46811,17.5601348877,65.8507614136,16.5891075134
United States,87.87316,80.52771,19.8391551971,67.0960998535,13.064743042
Uruguay,87.79816,77.34,22.5057849884,63.619556427,13.8746585846
Uzbekistan,75.33525,61.71384,29.7718372345,65.837852478,4.3903136253
Vanuatu,79.76933,71.83174,38.2003326416,57.8517036438,3.9479641914
Venezuela,84.05209,73.73415,29.4732837677,64.9010620117,5.6256518364
Vietnam,87.33226,71.54383,23.4913311005,69.9694519043,6.5392198563
Virgin Islands US,90.46402,84.18896,20.6792507172,65.6238861084,13.6968660355
West Bank and Gaza,82.21566,75.75405,42.0706062317,55.1648178101,2.7645730972
Yemen,64.59268,58.37603,41.951625824,55.3195419312,2.7288308144
Zambia,50.90801,45.94773,46.9120750427,50.4344367981,2.6534872055
Zimbabwe,44.74936,42.91633,41.2341537476,54.7835197449,3.982326746
